Title,Price,Rating,Availability
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,0
You Are What You Love: The Spiritual Power of Habit,21.87,4,0
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,0
Tuesday Nights in 1980,21.04,2,0
Tracing Numbers on a Train,41.6,3,0
Throne of Glass (Throne of Glass #1),35.07,3,0
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,0
Thirteen Reasons Why,52.72,1,0
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,4,0
The Wedding Dress,24.12,1,0
The Vacationers,42.15,4,0
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5,0
The Stranger,17.44,4,0
The Shadow Hero (The Shadow Hero),33.14,1,0
The Secret (The Secret #1),27.37,4,0
The Regional Office Is Under Attack!,51.36,5,0
The Psychopath Test: A Journey Through the Madness Industry,36.0,2,0
The Project,10.65,1,0
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,0
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,0
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,0
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,0
The Mistake (Off-Campus #2),43.29,3,0
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,0
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,0
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,0
The Kite Runner,41.82,4,0
The House by the Lake,36.95,1,0
The Glittering Court (The Glittering Court #1),44.28,1,0
The Girl on the Train,55.02,2,0
The Genius of Birds,17.24,1,0
The Emerald Mystery,23.15,2,0
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,0
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,0
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,0
The Art of War,33.34,5,0
The Argonauts,10.93,2,0
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,0
Suddenly in Love (Lake Haven #1),55.99,2,0
Something More Than This,16.24,4,0
Soft Apocalypse,26.12,2,0
So You've Been Publicly Shamed,12.23,2,0
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,0
"Shobu Samurai, Project Aryoku (#3)",29.06,3,0
Secrets and Lace (Fatal Hearts #1),20.27,1,0
Scarlett Epstein Hates It Here,43.55,5,0
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,0
Redeeming Love,20.47,5,0
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,0
Poems That Make Grown Women Cry,14.19,4,0
"Nightingale, Sing",38.28,1,0
Night Sky with Exit Wounds,41.05,1,0
Mrs. Houdini,30.25,5,0
Modern Romance,28.26,5,0
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,1,0
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,0
Little Red,13.47,3,0
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,5,0
Large Print Heart of the Pride,19.15,2,0
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,0
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,1,0
Grumbles,22.16,2,0
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,0
Frostbite (Vampire Academy #2),29.99,5,0
Follow You Home,21.36,1,0
First Steps for New Christians (Print Edition),29.0,1,0
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,0
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,0
Eureka Trivia 6.0,54.59,4,0
Drive: The Surprising Truth About What Motivates Us,34.95,4,0
Done Rubbed Out (Reightman & Bailey #1),37.72,5,0
Doing It Over (Most Likely To #1),35.61,3,0
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,0
Dark Notes,19.19,5,0
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3,0
Close to You,49.46,4,0
Chasing Heaven: What Dying Taught Me About Living,37.8,2,0
Big Magic: Creative Living Beyond Fear,30.8,3,0
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2,0
Beauty Restored (Riley Family Legacy Novellas #3),11.11,2,0
Batman: The Long Halloween (Batman),36.5,2,0
Batman: The Dark Knight Returns (Batman),15.38,5,0
Ayumi's Violin,15.48,2,0
Anonymous,46.82,4,0
Amy Meets the Saints and Sages,18.46,3,0
Amid the Chaos,36.58,1,0
Amatus,50.54,5,0
Agnostic: A Spirited Manifesto,12.51,5,0
Zealot: The Life and Times of Jesus of Nazareth,24.7,3,0
You (You #1),43.61,5,0
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,0
Wild Swans,14.36,2,0
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,4,0
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,0
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2,0
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,0
Walt Disney's Alice in Wonderland,12.96,5,0
V for Vendetta (V for Vendetta Complete),37.1,4,0
Until Friday Night (The Field Party #1),46.31,2,0
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,2,0
Twenty Yawns,22.08,2,0
Through the Woods,25.38,2,0
This Is Where It Ends,27.12,2,0
The Year of Magical Thinking,43.04,2,0
The Wright Brothers,56.8,4,0
The White Queen (The Cousins' War #1),25.91,5,0
The Wedding Pact (The O'Malleys #2),32.61,3,0
The Time Keeper,27.88,5,0
The Testament of Mary,52.67,4,0
The Star-Touched Queen,46.02,5,0
The Songs of the Gods,44.48,5,0
The Song of Achilles,37.4,5,0
The Rosie Project (Don Tillman #1),54.04,1,0
The Power of Habit: Why We Do What We Do in Life and Business,16.88,3,0
The Marriage of Opposites,28.08,4,0
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,1,0
The Long Haul (Diary of a Wimpy Kid #9),44.07,1,0
The Loney,23.4,1,0
The Literature Book (Big Ideas Simply Explained),17.43,3,0
The Last Mile (Amos Decker #2),54.21,2,0
The Immortal Life of Henrietta Lacks,40.67,2,0
The Hidden Oracle (The Trials of Apollo #1),52.26,2,0
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3,0
The Guilty (Will Robie #4),13.82,2,0
The First Hostage (J.B. Collins #2),25.85,3,0
The Dovekeepers,48.78,1,0
The Darkest Lie,35.35,5,0
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,0
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,1,0
The 14th Colony (Cotton Malone #11),39.24,1,0
That Darkness (Gardiner and Renner #1),13.92,1,0
Tastes Like Fear (DI Marnie Rome #3),10.69,1,0
Take Me with You,45.21,3,0
Swell: A Year of Waves,45.58,1,0
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,0
Still Life with Bread Crumbs,26.41,3,0
Steve Jobs,39.5,5,0
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,0
Someone Like You (The Harrisons #2),52.79,5,0
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,0
Shtum,55.84,4,0
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,0
salt.,46.78,4,0
Robin War,47.82,3,0
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,0
Rain Fish,23.57,3,0
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,0
Pet Sematary,10.56,3,0
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3,0
Once Was a Time,18.28,2,0
Old School (Diary of a Wimpy Kid #10),11.83,5,0
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,0
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,0
My Name Is Lucy Barton,41.56,1,0
My Mrs. Brown,24.48,3,0
My Kind of Crazy,40.36,1,0
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,0
More Than Music (Chasing the Dream #1),37.61,2,0
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,0
Luis Paints the World,53.95,3,0
Luckiest Girl Alive,49.83,3,0
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,0
Love Is a Mix Tape (Music #1),18.03,1,0
Looking for Lovely: Collecting the Moments that Matter,29.14,5,0
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4,0
Let It Out: A Journey Through Journaling,26.79,5,0
Lady Midnight (The Dark Artifices #1),16.28,5,0
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1,0
Island of Dragons (Unwanteds #7),29.65,1,0
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,0
I Am Pilgrim (Pilgrim #1),10.6,4,0
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,0
"Hush, Hush (Hush, Hush #1)",47.02,3,0
Hold Your Breath (Search and Rescue #1),28.82,1,0
Hamilton: The Revolution,58.79,3,0
Greek Mythic History,10.23,5,0
God: The Most Unpleasant Character in All Fiction,30.03,5,0
Glory over Everything: Beyond The Kitchen House,45.84,3,0
Feathers: Displays of Brilliant Plumage,49.05,3,0
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,0
Every Last Word,46.47,3,0
Eligible (The Austen Project #4),27.09,3,0
El Deafo,57.62,5,0
Eight Hundred Grapes,14.39,4,0
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5,0
"Eat Fat, Get Thin",54.07,2,0
Don't Get Caught,55.35,1,0
Doctor Sleep (The Shining #2),40.12,2,0
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5,0
Dear Mr. Knightley,11.21,5,0
Daily Fantasy Sports,36.58,1,0
Crazy Love: Overwhelmed by a Relentless God,47.72,2,0
Cometh the Hour (The Clifton Chronicles #6),25.01,3,0
Code Name Verity (Code Name Verity #1),22.13,4,0
Clockwork Angel (The Infernal Devices #1),44.14,1,0
City of Glass (The Mortal Instruments #3),56.02,4,0
City of Fallen Angels (The Mortal Instruments #4),11.23,4,0
City of Bones (The Mortal Instruments #1),43.28,1,0
City of Ashes (The Mortal Instruments #2),47.27,1,0
Cell,20.29,4,0
Catching Jordan (Hundred Oaks),50.83,3,0
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,3,0
Carrie,46.23,2,0
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,4,0
Brain on Fire: My Month of Madness,49.32,5,0
Batman: Europa,32.01,2,0
Barefoot Contessa Back to Basics,28.01,1,0
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,5,0
Balloon Animals,17.03,3,0
Art Ops Vol. 1,48.8,3,0
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,4,0
Angels Walking (Angels Walking #1),34.2,2,0
Angels & Demons (Robert Langdon #1),51.48,3,0
All the Light We Cannot See,29.87,5,0
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2,0
Abstract City,56.37,5,0
A Time of Torment (Charlie Parker #14),48.35,5,0
A Study in Scarlet (Sherlock Holmes #1),16.73,2,0
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,2,0
A People's History of the United States,40.79,2,0
A Man Called Ove,39.72,1,0
A Distant Mirror: The Calamitous 14th Century,14.58,3,0
A Brush of Wings (Angels Walking #3),55.51,1,0
1491: New Revelations of the Americas Before Columbus,21.8,3,0
"The Three Searches, Meaning, and the Story",13.33,3,0
Searching for Meaning in Gailana,38.73,1,0
Rook,37.86,4,0
My Kitchen Year: 136 Recipes That Saved My Life,11.53,2,0
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,1,0
Will You Won't You Want Me?,13.86,3,0
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,1,0
The Star-Touched Queen,32.3,5,0
The Silent Sister (Riley MacPherson #1),46.29,5,0
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,1,0
The Lonely City: Adventures in the Art of Being Alone,33.26,2,0
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,4,0
The Golden Condom: And Other Essays on Love Lost and Found,39.43,1,0
The Epidemic (The Program 0.6),14.44,5,0
The Dinner Party,56.54,2,0
The Diary of a Young Girl,59.9,3,0
The Children,11.88,3,0
Stars Above (The Lunar Chronicles #4.5),48.05,2,0
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,3,0
Raspberry Pi Electronics Projects for the Evil Genius,49.67,4,0
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,1,0
Psycho: Sanitarium (Psycho #1.5),36.97,5,0
Poisonous (Max Revere Novels #3),26.8,3,0
One with You (Crossfire #5),15.71,4,0
No Love Allowed (Dodge Cove #1),54.65,4,0
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,0
Most Wanted,35.28,3,0
"Love, Lies and Spies",20.55,2,0
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,5,0
Hide Away (Eve Duncan #20),11.84,1,0
Furiously Happy: A Funny Book About Horrible Things,41.46,4,0
Everyday Italian: 125 Simple and Delicious Recipes,20.1,5,0
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,1,0
Eleanor & Park,56.51,5,0
Dirty (Dive Bar #1),40.83,4,0
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,1,0
Boar Island (Anna Pigeon #19),59.48,3,0
A Paris Apartment,39.01,4,0
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,1,0
Troublemaker: Surviving Hollywood and Scientology,48.39,2,0
The Widow,27.26,2,0
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,4,0
The Improbability of Love,59.45,1,0
The Art of Startup Fundraising,21.0,3,0
Take Me Home Tonight (Rock Star Romance #3),53.98,3,0
Sleeping Giants (Themis Files #1),48.74,1,0
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,2,0
Playing with Fire,13.71,3,0
Off the Hook (Fishing for Trouble #1),47.67,3,0
Mothering Sunday,13.34,2,0
"Mother, Can You Not?",16.89,5,0
M Train,27.18,1,0
Lilac Girls,17.28,2,0
Lies and Other Acts of Love,45.14,1,0
Lab Girl,40.85,1,0
Keep Me Posted,20.46,4,0
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,3,0
Grey (Fifty Shades #4),48.49,4,0
"Exit, Pursued by a Bear",51.34,4,0
Daredevils,16.34,3,0
Cravings: Recipes for What You Want to Eat,20.5,3,0
Born for This: How to Find the Work You Were Meant to Do,21.59,5,0
Arena,21.36,4,0
Adultery,20.88,5,0
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,3,0
A Gentleman's Position (Society of Gentlemen #3),14.75,5,0
11/22/63,48.48,3,0
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,2,0
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,5,0
Without Shame,48.27,5,0
Watchmen,58.05,4,0
Unlimited Intuition Now,58.87,4,0
Underlying Notes,11.82,2,0
The Shack,28.03,1,0
The New Brand You: Your New Image Makes the Sale for You,44.05,5,0
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,4,0
The Flowers Lied,16.68,2,0
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,1,0
The Book of Mormon,24.57,3,0
The Art and Science of Low Carbohydrate Living,52.98,5,0
The Alien Club,54.4,1,0
Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,5,0
Nap-a-Roo,25.08,1,0
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,4,0
Modern Day Fables,47.44,2,0
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,1,0
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4,0
Dress Your Family in Corduroy and Denim,43.68,3,0
Don't Forget Steven,33.23,1,0
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,2,0
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,4,0
A Shard of Ice (The Black Symphony Saga #1),56.63,3,0
A Hero's Curse (The Unseen Chronicles #1),50.49,3,0
23 Degrees South: A Tropical Tale of Changing Whether...,35.79,2,0
"Zero to One: Notes on Startups, or How to Build the Future",34.06,3,0
Why Not Me?,17.76,1,0
When Breath Becomes Air,39.36,2,0
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,0
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,5,0
The New Drawing on the Right Side of the Brain,43.02,3,0
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,4,0
The Martian (The Martian #1),41.39,2,0
The High Mountains of Portugal,51.15,1,0
The Grownup,35.88,1,0
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,1,0
South of Sunshine,28.93,1,0
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,5,0
Silence in the Dark (Logan Point #4),58.33,3,0
Shadows of the Past (Logan Point #1),39.67,5,0
Roller Girl,14.1,5,0
Rising Strong,21.82,3,0
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,1,0
Please Kill Me: The Uncensored Oral History of Punk,31.19,4,0
Out of Print: City Lights Spotlight No. 14,53.64,5,0
My Life Next Door (My Life Next Door ),36.39,5,0
Miller's Valley,58.54,2,0
Man's Search for Meaning,29.48,3,0
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,2,0
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,3,0
Les Fleurs du Mal,29.04,5,0
Left Behind (Left Behind #1),40.72,2,0
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,5,0
Kierkegaard: A Christian Missionary to Christians,47.13,1,0
John Vassos: Industrial Design for Modern Life,20.22,4,0
I'll Give You the Sun,56.48,1,0
I Will Find You,44.21,1,0
Hystopia: A Novel,21.96,4,0
Howl and Other Poems,40.45,2,0
History of Beauty,10.29,4,0
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,2,0
Future Shock (Future Shock #1),55.65,5,0
Ender's Game (The Ender Quintet #1),43.64,1,0
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,1,0
Death by Leisure: A Cautionary Tale,37.51,4,0
Brilliant Beacons: A History of the American Lighthouse,11.45,3,0
Brazen: The Courage to Find the You That's Been Hiding,19.22,2,0
Between the World and Me,56.91,4,0
Being Mortal: Medicine and What Matters in the End,55.06,4,0
"A Murder Over a Girl: Justice, Gender, Junior High",13.2,3,0
32 Yolks,53.63,2,0
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,5,0
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,3,0
